 Excess kurtosis of the DM-SNR curve line, Excess kurtosis of the DM-SNR curve outlier candidate, Excess kurtosis of the integrated profile line, Excess kurtosis of the integrated profile outlier candidate, Mean of the DM-SNR curve line, Mean of the DM-SNR curve outlier candidate, Mean of the integrated profile line, Mean of the integrated profile outlier candidate, Skewness of the DM-SNR curve line, Skewness of the DM-SNR curve outlier candidate, Skewness of the integrated profile line, Skewness of the integrated profile outlier candidate, Standard deviation of the DM-SNR curve line, Standard deviation of the DM-SNR curve outlier candidate, Standard deviation of the integrated profile line, Standard deviation of the integrated profile outlier candidate
2669.0,16.73582653,1080.0,-0.327481721,1754.0,0.493311037,3050.0,148.734375,,,1156.0,-0.455355488,,,,
2687.0,18.60030304,1082.0,-0.065591176,1786.0,1.222408027,3064.0,145.515625,,,1163.0,-0.568159146,,,,
2691.0,19.19876364,1086.0,-0.1487375,1790.0,0.671404682,3093.0,146.3359375,,,1170.0,-0.596122377,,,,
2722.0,16.2029334,1088.0,-0.121952426,1798.0,0.903010033,3118.0,150.09375,,,1177.0,-0.55575902,,,,
2726.0,21.78880752,1110.0,-0.12966176,1808.0,0.828595318,3290.0,142.2265625,,,1179.0,-0.378226218,,,,
2812.0,16.0248918,1112.0,-0.262291657,1828.0,0.838628763,3318.0,153.265625,,,1189.0,-0.532189049,,,,
2865.0,17.27692219,1122.0,-0.125126919,1839.0,0.867056856,3347.0,143.453125,,,1194.0,-0.675270192,,,,
2882.0,18.58770705,1149.0,-0.139766255,1849.0,1.157190635,3397.0,144.3359375,,,1198.0,-0.431259477,,,,
2924.0,22.07906526,1158.0,-0.072164943,1853.0,1.16722408,3407.0,142.7109375,,,1200.0,-0.558206552,,,,
2947.0,18.12971574,1167.0,-0.404696444,1857.0,1.099498328,3424.0,144.078125,,,1210.0,-0.483325218,,,,
2984.0,17.07881177,1177.0,-0.386948102,1868.0,1.071906355,3427.0,142.390625,,,1211.0,-0.457520726,,,,
2992.0,16.45809591,1187.0,-0.368260131,1897.0,0.648829431,3447.0,144.75,,,1219.0,-0.453809418,,,,
3050.0,19.40777182,1189.0,-0.14220215,1903.0,0.473244147,3450.0,143.7421875,,,1220.0,-0.44414081,,,,
3064.0,17.77944407,1196.0,-0.282400762,1988.0,0.962374582,3467.0,144.7890625,,,1222.0,-0.366729824,,,,
3082.0,16.1560225,1198.0,-0.108407305,1998.0,0.795150502,,,,,1232.0,-0.787813653,,,,
3085.0,16.71590506,1210.0,-0.085549253,2018.0,1.142976589,,,,,1243.0,-0.405367663,,,,
3086.0,24.2116019,1211.0,-0.138694079,2047.0,0.809364548,,,,,1244.0,-0.425663549,,,,
3124.0,16.43405227,1220.0,-0.139667958,2058.0,1.127926421,,,,,1250.0,-0.488677917,,,,
3136.0,19.95361512,1250.0,-0.117648752,2071.0,0.628762542,,,,,1258.0,-0.60804283,,,,
3236.0,15.87532933,1259.0,-0.067427737,2093.0,1.190635452,,,,,1259.0,-0.627974904,,,,
3343.0,17.2574396,1272.0,-0.09554035,2098.0,0.621237458,,,,,1280.0,-0.384349496,,,,
3344.0,17.94934163,1280.0,-0.342646,2130.0,1.180602007,,,,,1294.0,-0.581040759,,,,
3346.0,18.02280786,1281.0,-0.119643101,2148.0,0.62541806,,,,,1310.0,-0.65334814,,,,
3352.0,24.8038265,1294.0,-0.117317276,2151.0,0.213210702,,,,,1319.0,-0.362541469,,,,
3375.0,20.26078352,1305.0,-0.066710012,2178.0,1.238294314,,,,,1337.0,-0.787102521,,,,
3380.0,16.23050065,1313.0,-0.164240789,2180.0,1.216555184,,,,,1359.0,-0.377020378,,,,
3413.0,17.02761622,1314.0,-0.236577724,2182.0,0.89632107,,,,,1374.0,-0.682682689,,,,
3458.0,15.97289756,1319.0,-0.370261369,2188.0,1.004180602,,,,,1397.0,-0.486637088,,,,
3476.0,15.91627143,1325.0,-0.239040645,2205.0,1.094481605,,,,,1407.0,-1.022071192,,,,
,,1328.0,-0.191620268,2259.0,1.040133779,,,,,1412.0,-0.595897003,,,,
,,1351.0,-0.241620276,2278.0,0.631270903,,,,,1419.0,-0.819733801,,,,
,,1352.0,-0.086566058,2283.0,0.744983278,,,,,1424.0,-0.532209426,,,,
,,1355.0,-0.114142863,2341.0,0.510033445,,,,,1426.0,-0.537727309,,,,
,,1357.0,-0.08416679,2353.0,0.928929766,,,,,1427.0,-0.502093821,,,,
,,1370.0,-1.464809666,2363.0,0.722408027,,,,,1430.0,-0.696248578,,,,
,,1374.0,-0.193868003,2373.0,0.903010033,,,,,1434.0,-0.361925451,,,,
,,1380.0,-0.281609044,2378.0,1.162207358,,,,,1460.0,-0.402615325,,,,
,,1401.0,-0.277940085,2379.0,1.155518395,,,,,1462.0,-1.29079093,,,,
,,1403.0,-0.101247717,2392.0,0.848662207,,,,,1466.0,-0.428059593,,,,
,,1412.0,-0.144638989,2397.0,0.873745819,,,,,1473.0,-0.447545993,,,,
,,1425.0,-0.119416596,2430.0,0.889632107,,,,,1479.0,-0.553531651,,,,
,,1428.0,-0.075830847,2436.0,1.232441472,,,,,1486.0,-0.399454786,,,,
,,1429.0,-0.666761277,2439.0,0.661371237,,,,,1488.0,-0.415874652,,,,
,,1440.0,-0.261539631,2489.0,0.959866221,,,,,1496.0,-0.796270961,,,,
,,1457.0,-0.244153139,2491.0,1.139632107,,,,,1499.0,-0.450082238,,,,
,,1471.0,-0.96785605,2493.0,0.961538462,,,,,1501.0,-0.424998369,,,,
,,1473.0,-0.224264565,2512.0,0.643812709,,,,,1503.0,-0.66581044,,,,
,,1477.0,-0.082527812,2535.0,0.842809365,,,,,1504.0,-0.70011187,,,,
,,1479.0,-0.616140169,2540.0,0.887123746,,,,,1512.0,-0.796265936,,,,
,,1486.0,-0.328023302,2552.0,0.678929766,,,,,1523.0,-0.682348594,,,,
,,1497.0,-0.345502814,2586.0,1.081939799,,,,,1531.0,-0.362707125,,,,
,,1505.0,-0.322081418,2599.0,1.085284281,,,,,1535.0,-0.431156903,,,,
,,1509.0,-0.265456587,2612.0,0.56270903,,,,,1541.0,-0.495563862,,,,
,,1522.0,-0.234422119,2643.0,1.095317726,,,,,1553.0,-0.421265194,,,,
,,1523.0,-0.153433889,2659.0,0.683946488,,,,,1569.0,-0.45847628,,,,
,,1525.0,-0.091173338,2669.0,0.754180602,,,,,1582.0,-0.482680667,,,,
,,1534.0,-0.399585906,2687.0,0.688963211,,,,,1586.0,-0.375905262,,,,
,,1541.0,-0.065490878,2691.0,0.695652174,,,,,1591.0,-0.642960484,,,,
,,1542.0,-0.123295178,2721.0,0.864548495,,,,,1603.0,-1.00415768,,,,
,,1552.0,-0.124295853,2722.0,0.884615385,,,,,1611.0,-0.454706547,,,,
,,1560.0,-0.100787599,2726.0,0.537625418,,,,,1614.0,-1.221741092,,,,
,,1565.0,-0.417425064,2749.0,1.193979933,,,,,1621.0,-0.514347238,,,,
,,1569.0,-0.238446444,2786.0,1.023411371,,,,,1632.0,-0.96973044,,,,
,,1577.0,-0.161601914,2812.0,1.094481605,,,,,1641.0,-0.473516168,,,,
,,1581.0,-0.209818907,2819.0,1.030100334,,,,,1642.0,-0.538020905,,,,
,,1603.0,-0.128817571,2822.0,1.095317726,,,,,1644.0,-0.70806345,,,,
,,1611.0,-0.103200771,2841.0,1.010033445,,,,,1669.0,-0.654944883,,,,
,,1623.0,-0.097256057,2865.0,0.989130435,,,,,1672.0,-0.766580588,,,,
,,1627.0,-0.263480604,2881.0,1.220735786,,,,,1675.0,-0.52045906,,,,
,,1632.0,-0.082271602,2882.0,0.764214047,,,,,1676.0,-0.744740048,,,,
,,1636.0,-0.066714604,2924.0,0.556020067,,,,,1701.0,-0.398289737,,,,
,,1644.0,-0.249829928,2931.0,0.97993311,,,,,1704.0,-0.483476397,,,,
,,1649.0,-0.094408436,2947.0,0.769230769,,,,,1707.0,-0.45201668,,,,
,,1666.0,-0.205450272,2984.0,0.939799331,,,,,1730.0,-0.462205395,,,,
,,1667.0,-0.305418476,2988.0,1.024247492,,,,,1750.0,-0.383489202,,,,
,,1669.0,-0.154719171,2992.0,0.870401338,,,,,1753.0,-0.48574424,,,,
,,1672.0,-0.08253658,3013.0,1.200668896,,,,,1786.0,-0.369825844,,,,
,,1673.0,-0.091393782,3050.0,0.670568562,,,,,1790.0,-0.474659038,,,,
,,1674.0,-0.188187488,3055.0,1.182274247,,,,,1811.0,-0.657251352,,,,
,,1675.0,-0.103120276,3064.0,0.79180602,,,,,1839.0,-0.446177214,,,,
,,1676.0,-0.084275426,3082.0,0.89632107,,,,,1843.0,-0.377993387,,,,
,,1701.0,-0.101259289,3085.0,0.828595318,,,,,1844.0,-0.584480022,,,,
,,1703.0,-0.148782839,3086.0,0.571070234,,,,,1849.0,-0.496631593,,,,
,,1725.0,-0.078512205,3099.0,1.198160535,,,,,1865.0,-0.489726222,,,,
,,1727.0,-0.192430301,3136.0,0.935618729,,,,,1888.0,-0.693085686,,,,
,,1731.0,-0.071613211,3156.0,0.984113712,,,,,1904.0,-0.486325997,,,,
,,1737.0,-0.072875514,3165.0,1.10451505,,,,,1932.0,-0.543938707,,,,
,,1752.0,-0.069837975,3236.0,1.06187291,,,,,1935.0,-0.410723676,,,,
,,1754.0,-0.365303753,3261.0,0.993311037,,,,,1941.0,-0.442749672,,,,
,,1786.0,-0.10999675,3308.0,1.200668896,,,,,1954.0,-0.51666662,,,,
,,1796.0,-0.177842516,3330.0,1.019230769,,,,,1966.0,-0.437065922,,,,
,,1799.0,-0.510215253,3337.0,1.233277592,,,,,1968.0,-0.378637027,,,,
,,1807.0,-0.264095118,3343.0,0.753344482,,,,,1976.0,-0.379142572,,,,
,,1841.0,-0.069510812,3344.0,0.764214047,,,,,1977.0,-0.373832116,,,,
,,1843.0,-0.070775834,3346.0,0.992474916,,,,,1986.0,63.46638835,,,,
,,1869.0,-0.167963918,3352.0,0.428093645,,,,,1994.0,-0.502977774,,,,
,,1888.0,-0.103635276,3354.0,1.185618729,,,,,1995.0,-0.442147879,,,,
,,1911.0,-0.205664678,3375.0,0.856187291,,,,,2003.0,-0.644123295,,,,
,,1919.0,-0.254162475,3380.0,0.831103679,,,,,2023.0,-0.44365755,,,,
,,1922.0,-0.191013964,3408.0,1.127090301,,,,,2031.0,-0.426999545,,,,
,,1926.0,-0.18439488,3413.0,0.773411371,,,,,2035.0,-0.610939454,,,,
,,1933.0,-0.082759748,3439.0,1.12458194,,,,,2041.0,-0.470415228,,,,
,,1945.0,-0.687209202,3458.0,0.923913043,,,,,2045.0,-0.524239396,,,,
,,1963.0,-0.111088336,3472.0,1.214882943,,,,,2049.0,-0.468599832,,,,
,,1977.0,-0.167580943,3476.0,0.850334448,,,,,2054.0,-0.497854233,,,,
,,1979.0,-0.10301978,3497.0,1.107859532,,,,,2059.0,-0.452238868,,,,
,,1994.0,-0.06753907,,,,,,,2071.0,-0.720544634,,,,
,,1995.0,-0.102704234,,,,,,,2077.0,-0.462717702,,,,
,,2010.0,-0.095690831,,,,,,,2082.0,-0.48872364,,,,
,,2030.0,-0.319186637,,,,,,,2084.0,-0.444422013,,,,
,,2031.0,-0.199783307,,,,,,,2097.0,-0.874635091,,,,
,,2040.0,-0.243763805,,,,,,,2108.0,-0.435092834,,,,
,,2045.0,-0.126128261,,,,,,,2111.0,-0.454981747,,,,
,,2070.0,-0.155980676,,,,,,,2113.0,-0.369359567,,,,
,,2072.0,-0.09104771,,,,,,,2117.0,-0.558991494,,,,
,,2088.0,-0.377740339,,,,,,,2128.0,-0.40646326,,,,
,,2089.0,-0.495959408,,,,,,,2138.0,-0.478336499,,,,
,,2092.0,-0.174612459,,,,,,,2145.0,-0.526288879,,,,
,,2094.0,-0.097906922,,,,,,,2149.0,-0.465566375,,,,
,,2101.0,-0.223622621,,,,,,,2151.0,-1.020967344,,,,
,,2109.0,-0.097537105,,,,,,,2173.0,-0.447587468,,,,
,,2128.0,-0.152842304,,,,,,,2179.0,-1.342554186,,,,
,,2138.0,-0.087278151,,,,,,,2182.0,-0.444882409,,,,
,,2142.0,-0.381446574,,,,,,,2185.0,65.38597385,,,,
,,2143.0,-0.111385828,,,,,,,2198.0,-0.600009457,,,,
,,2165.0,-0.353121474,,,,,,,2204.0,-0.415017276,,,,
,,2168.0,-0.087282239,,,,,,,2212.0,-0.496484337,,,,
,,2176.0,-0.097355231,,,,,,,2218.0,-0.694499652,,,,
,,2180.0,-0.140807882,,,,,,,2229.0,-0.551473194,,,,
,,2189.0,-0.156429627,,,,,,,2250.0,-0.397127049,,,,
,,2216.0,-0.78854709,,,,,,,2253.0,-0.396475874,,,,
,,2220.0,-0.082856721,,,,,,,2264.0,-0.385996938,,,,
,,2222.0,-0.104343593,,,,,,,2265.0,-0.584550434,,,,
,,2233.0,-0.37293035,,,,,,,2271.0,-0.517323389,,,,
,,2253.0,-0.194942315,,,,,,,2275.0,-0.736974819,,,,
,,2260.0,-0.329892811,,,,,,,2276.0,-0.414223241,,,,
,,2269.0,-0.066088702,,,,,,,2277.0,-0.521904293,,,,
,,2276.0,-0.109824943,,,,,,,2279.0,-0.368769008,,,,
,,2277.0,-0.261784651,,,,,,,2280.0,-0.416172172,,,,
,,2281.0,-0.173434182,,,,,,,2287.0,-0.528603896,,,,
,,2287.0,-0.081685994,,,,,,,2294.0,-0.369302266,,,,
,,2291.0,-0.070463303,,,,,,,2299.0,-0.770586756,,,,
,,2293.0,-0.22326861,,,,,,,2315.0,-0.593252704,,,,
,,2298.0,-0.094764851,,,,,,,2316.0,-0.482835019,,,,
,,2299.0,-0.14200071,,,,,,,2320.0,-0.549415213,,,,
,,2301.0,-0.118751191,,,,,,,2322.0,-0.517021157,,,,
,,2317.0,-0.085338071,,,,,,,2346.0,-0.430429637,,,,
,,2320.0,-0.105875674,,,,,,,2356.0,-0.583776328,,,,
,,2341.0,-0.145718598,,,,,,,2367.0,-0.436250022,,,,
,,2344.0,-0.069990478,,,,,,,2371.0,-0.617628015,,,,
,,2365.0,-0.20388525,,,,,,,2374.0,-0.414789716,,,,
,,2374.0,-0.33934541,,,,,,,2381.0,-0.411970283,,,,
,,2388.0,-0.219935712,,,,,,,2387.0,-0.619413393,,,,
,,2415.0,-0.09142381,,,,,,,2411.0,68.10162173,,,,
,,2426.0,-0.125898616,,,,,,,2416.0,-0.550595378,,,,
,,2431.0,-0.814920527,,,,,,,2417.0,-1.429338602,,,,
,,2443.0,-0.248043809,,,,,,,2425.0,-1.139068864,,,,
,,2451.0,-0.417136329,,,,,,,2426.0,-0.581299512,,,,
,,2497.0,-0.16462649,,,,,,,2453.0,-0.635869161,,,,
,,2514.0,-0.214395746,,,,,,,2456.0,-0.498774663,,,,
,,2516.0,-0.106678487,,,,,,,2467.0,-1.308232913,,,,
,,2531.0,-0.144801934,,,,,,,2469.0,-0.475249405,,,,
,,2532.0,-0.267096507,,,,,,,2473.0,-0.578751719,,,,
,,2534.0,-0.119205418,,,,,,,2476.0,-0.845515689,,,,
,,2537.0,-0.183594679,,,,,,,2478.0,-0.782021499,,,,
,,2547.0,-0.417461904,,,,,,,2501.0,-0.447354775,,,,
,,2568.0,-0.17201993,,,,,,,2506.0,-0.675699635,,,,
,,2571.0,-0.186698548,,,,,,,2513.0,-0.621400975,,,,
,,2582.0,-0.13811222,,,,,,,2523.0,-0.605069296,,,,
,,2592.0,-0.259509928,,,,,,,2525.0,-0.419453083,,,,
,,2606.0,-0.383401073,,,,,,,2531.0,-0.476573898,,,,
,,2630.0,-0.175096769,,,,,,,2536.0,-0.656425154,,,,
,,2632.0,-0.080306594,,,,,,,2539.0,-0.366439749,,,,
,,2633.0,-0.208668495,,,,,,,2552.0,-0.572024717,,,,
,,2653.0,-0.070547264,,,,,,,2568.0,-0.488832123,,,,
,,2659.0,-0.100562357,,,,,,,2571.0,-0.424594113,,,,
,,2665.0,-0.153366001,,,,,,,2581.0,-0.530214971,,,,
,,2671.0,-0.329768528,,,,,,,2582.0,-0.386839447,,,,
,,2681.0,-0.071644761,,,,,,,2588.0,-0.536461058,,,,
,,2686.0,-0.174892057,,,,,,,2595.0,-0.440315798,,,,
,,2694.0,-1.738020762,,,,,,,2602.0,-1.389725973,,,,
,,2696.0,-0.098536494,,,,,,,2604.0,-0.737542315,,,,
,,2703.0,-0.125338864,,,,,,,2618.0,-0.652896327,,,,
,,2707.0,-1.095116745,,,,,,,2632.0,-0.558726642,,,,
,,2708.0,-0.147826201,,,,,,,2633.0,-0.448645506,,,,
,,2712.0,-0.197245073,,,,,,,2653.0,-0.485548445,,,,
,,2750.0,-0.284614307,,,,,,,2656.0,-0.362528645,,,,
,,2758.0,-0.213881505,,,,,,,2657.0,-1.333386905,,,,
,,2773.0,-0.141260678,,,,,,,2667.0,-0.444129432,,,,
,,2777.0,-0.077207062,,,,,,,2678.0,-0.495320252,,,,
,,2778.0,-0.208422583,,,,,,,2695.0,-0.43576744,,,,
,,2783.0,-0.270217682,,,,,,,2708.0,-0.385006772,,,,
,,2784.0,-0.160719816,,,,,,,2716.0,-0.478385295,,,,
,,2797.0,-0.118292069,,,,,,,2728.0,-0.41898343,,,,
,,2799.0,-0.405024222,,,,,,,2729.0,-0.455934083,,,,
,,2800.0,-1.291564673,,,,,,,2747.0,-0.375044104,,,,
,,2817.0,-0.472205817,,,,,,,2751.0,-0.429760698,,,,
,,2830.0,-0.116512624,,,,,,,2758.0,-0.41926369,,,,
,,2845.0,-0.169915787,,,,,,,2783.0,-0.469367619,,,,
,,2854.0,-0.107939893,,,,,,,2799.0,-1.035557437,,,,
,,2862.0,-0.092523198,,,,,,,2802.0,-0.543809943,,,,
,,2885.0,-0.323419544,,,,,,,2810.0,-0.560666999,,,,
,,2889.0,-0.12452117,,,,,,,2818.0,-0.482553483,,,,
,,2899.0,-0.250373611,,,,,,,2827.0,-0.436555857,,,,
,,2910.0,-0.118252793,,,,,,,2830.0,-0.547796532,,,,
,,2932.0,-0.339591121,,,,,,,2844.0,-0.392104632,,,,
,,2940.0,-0.106715533,,,,,,,2855.0,-0.516390781,,,,
,,2945.0,-0.287062184,,,,,,,2874.0,-0.374969242,,,,
,,2949.0,-0.285642722,,,,,,,2875.0,-0.61279593,,,,
,,2951.0,-0.241404246,,,,,,,2899.0,-0.976845205,,,,
,,2979.0,-0.114051155,,,,,,,2902.0,-0.410765529,,,,
,,2984.0,-0.184104506,,,,,,,2937.0,-0.785820127,,,,
,,2986.0,-0.079908459,,,,,,,2939.0,-0.476255419,,,,
,,2991.0,-0.31595724,,,,,,,2954.0,-1.151807727,,,,
,,3000.0,-0.10832174,,,,,,,2963.0,-0.747335503,,,,
,,3002.0,-0.218016965,,,,,,,2971.0,-0.471540254,,,,
,,3003.0,-0.225299501,,,,,,,2986.0,-0.685811889,,,,
,,3005.0,-0.382617094,,,,,,,2999.0,-0.997392102,,,,
,,3007.0,-0.065939876,,,,,,,3000.0,-0.473577634,,,,
,,3016.0,-0.943275425,,,,,,,3002.0,-0.521834801,,,,
,,3031.0,-0.176875998,,,,,,,3049.0,-0.392377206,,,,
,,3035.0,-0.101815555,,,,,,,3051.0,-0.54103849,,,,
,,3049.0,-0.140398531,,,,,,,3054.0,-0.632872049,,,,
,,3050.0,-0.145787361,,,,,,,3058.0,-0.455453903,,,,
,,3064.0,-0.144941624,,,,,,,3070.0,-0.367062154,,,,
,,3070.0,-0.161578883,,,,,,,3088.0,-0.496272647,,,,
,,3078.0,-0.125938944,,,,,,,3090.0,-0.435686885,,,,
,,3092.0,-0.11973079,,,,,,,3092.0,-0.472867143,,,,
,,3093.0,-0.528109714,,,,,,,3093.0,-0.810518903,,,,
,,3094.0,-0.083557254,,,,,,,3094.0,-0.645467061,,,,
,,3104.0,-0.179417872,,,,,,,3097.0,-0.368246783,,,,
,,3106.0,-0.190712349,,,,,,,3104.0,-0.371064672,,,,
,,3118.0,-0.149463638,,,,,,,3134.0,-0.947837601,,,,
,,3120.0,-0.116343662,,,,,,,3159.0,-0.775542338,,,,
,,3126.0,-0.098552611,,,,,,,3161.0,-1.098034967,,,,
,,3142.0,-0.068485465,,,,,,,3164.0,-0.390467131,,,,
,,3150.0,-0.075504382,,,,,,,3170.0,-0.565564884,,,,
,,3170.0,-0.191159541,,,,,,,3179.0,-0.400188013,,,,
,,3185.0,-0.275893858,,,,,,,3189.0,-0.432564868,,,,
,,3201.0,-0.15137491,,,,,,,3190.0,-0.365476727,,,,
,,3215.0,-0.117053964,,,,,,,3215.0,-0.808664804,,,,
,,3228.0,-0.263595647,,,,,,,3216.0,-0.476968922,,,,
,,3254.0,-0.27547525,,,,,,,3223.0,-0.510958721,,,,
,,3255.0,-0.150041816,,,,,,,3230.0,-0.429393945,,,,
,,3272.0,-0.412853166,,,,,,,3243.0,-1.190659166,,,,
,,3273.0,-0.195367142,,,,,,,3246.0,-0.409539572,,,,
,,3290.0,-0.409039498,,,,,,,3270.0,-0.396994792,,,,
,,3302.0,-0.160566708,,,,,,,3274.0,-0.683712804,,,,
,,3317.0,-0.182345351,,,,,,,3282.0,-0.469412479,,,,
,,3318.0,-0.296754705,,,,,,,3290.0,-0.900755645,,,,
,,3324.0,-0.345903617,,,,,,,3292.0,-0.369041328,,,,
,,3334.0,-0.068224502,,,,,,,3302.0,-0.593484133,,,,
,,3343.0,-0.091211039,,,,,,,3303.0,-0.431335674,,,,
,,3347.0,-0.071641627,,,,,,,3317.0,-0.697687995,,,,
,,3357.0,-0.223970879,,,,,,,3322.0,-0.530465324,,,,
,,3369.0,-0.241032136,,,,,,,3333.0,-0.433701205,,,,
,,3387.0,-0.202542443,,,,,,,3336.0,-0.681334922,,,,
,,3391.0,-0.088268167,,,,,,,3337.0,-0.42495744,,,,
,,3405.0,-0.074272905,,,,,,,3349.0,-0.499100853,,,,
,,3409.0,-0.174958562,,,,,,,3369.0,-0.713381389,,,,
,,3424.0,-0.209547105,,,,,,,3375.0,-0.573335104,,,,
,,3447.0,-0.312930164,,,,,,,3387.0,-0.439521856,,,,
,,3453.0,-0.109775948,,,,,,,3390.0,-0.46692375,,,,
,,3456.0,-0.065227893,,,,,,,3394.0,-0.577998818,,,,
,,3463.0,-0.192128471,,,,,,,3396.0,-0.41551847,,,,
,,3467.0,-0.232265509,,,,,,,3399.0,-0.384992309,,,,
,,3477.0,-0.15290576,,,,,,,3405.0,-0.427521673,,,,
,,3478.0,-0.223171164,,,,,,,3449.0,-1.755331667,,,,
,,3496.0,-0.121200047,,,,,,,3456.0,-0.440341833,,,,
,,3499.0,-0.109619083,,,,,,,3458.0,-0.50985817,,,,
,,,,,,,,,,3464.0,-0.922061166,,,,
,,,,,,,,,,3470.0,-0.648617371,,,,
,,,,,,,,,,3496.0,-0.361874096,,,,
