 Excess kurtosis of the DM-SNR curve line, Excess kurtosis of the DM-SNR curve outlier candidate, Excess kurtosis of the integrated profile line, Excess kurtosis of the integrated profile outlier candidate, Mean of the DM-SNR curve line, Mean of the DM-SNR curve outlier candidate, Mean of the integrated profile line, Mean of the integrated profile outlier candidate, Skewness of the DM-SNR curve line, Skewness of the DM-SNR curve outlier candidate, Skewness of the integrated profile line, Skewness of the integrated profile outlier candidate, Standard deviation of the DM-SNR curve line, Standard deviation of the DM-SNR curve outlier candidate, Standard deviation of the integrated profile line, Standard deviation of the integrated profile outlier candidate,cap-shape line,cap-shape outlier candidate,cap-surface line,cap-surface outlier candidate,class line,class outlier candidate
4.0,19.03617062,4.0,-0.240785204,4.0,0.968227425,43.0,155.046875,4.0,469.5407905,4.0,-0.487395509,4.0,9.341388136,20.0,68.91609508,,,,,381.0,0.0
16.0,18.9541547,43.0,-0.401771128,16.0,0.920568562,61.0,143.109375,16.0,464.2133496,13.0,-0.558726642,16.0,9.371889853,63.0,65.52749779,,,,,514.0,0.0
26.0,18.19443105,44.0,-0.101815555,26.0,1.009197324,64.0,147.5234375,79.0,466.7812113,16.0,-0.696248578,26.0,9.705052421,149.0,79.08440748,,,,,860.0,0.0
79.0,19.29383965,61.0,-0.250942834,79.0,0.757525084,93.0,150.796875,148.0,590.2587782,17.0,-0.543944115,79.0,9.388835711,182.0,66.46426464,,,,,2404.0,0.0
145.0,18.58770705,64.0,-0.270451157,107.0,1.200668896,167.0,145.625,210.0,800.1119478,20.0,-1.342554186,148.0,8.81823759,282.0,72.8924705,,,,,3169.0,0.0
148.0,22.08963805,65.0,-0.266391407,143.0,1.198160535,215.0,160.15625,213.0,584.3789446,25.0,-0.453809418,202.0,9.776808016,290.0,69.22424499,,,,,,
202.0,19.83776014,89.0,-0.145550979,145.0,0.764214047,217.0,147.984375,224.0,533.3932663,39.0,-0.409539572,210.0,8.155357409,320.0,60.29166577,,,,,,
210.0,26.72061167,112.0,-0.276446079,148.0,0.683946488,251.0,147.28125,234.0,576.7457542,41.0,-0.438209802,213.0,8.956368126,356.0,76.08680947,,,,,,
213.0,22.76554322,148.0,-0.100562357,187.0,0.992474916,257.0,151.8671875,299.0,619.4467173,45.0,-0.555772288,224.0,9.033148369,362.0,69.39277468,,,,,,
224.0,20.54908805,153.0,-0.094764851,202.0,0.673913043,293.0,160.171875,312.0,526.41353,60.0,-0.371742333,234.0,8.938484839,409.0,63.60171125,,,,,,
234.0,22.2205552,154.0,-0.408218512,207.0,1.107859532,302.0,147.7421875,329.0,572.6929099,63.0,-0.805125685,276.0,10.04489355,424.0,60.41294209,,,,,,
276.0,19.01050319,159.0,-0.085338071,210.0,0.448160535,317.0,145.15625,561.0,563.7681942,65.0,-0.370034248,299.0,9.471101392,458.0,61.00824219,,,,,,
299.0,24.80000616,162.0,-0.114051155,212.0,1.172240803,325.0,150.09375,606.0,687.3500921,72.0,-0.366439749,312.0,9.347426528,512.0,60.41095379,,,,,,
312.0,21.54466351,165.0,-0.164018805,213.0,0.494983278,329.0,154.9765625,729.0,771.1912299,79.0,-0.359748328,329.0,9.045499535,624.0,61.14407245,,,,,,
329.0,22.32033128,167.0,-0.092444085,218.0,1.127926421,344.0,153.4296875,775.0,767.249553,84.0,-0.46692375,339.0,10.05649679,625.0,68.58205161,,,,,,
339.0,18.34727978,188.0,-0.118751191,224.0,0.877090301,398.0,145.71875,867.0,641.9650322,87.0,-0.368769008,353.0,10.06173086,635.0,74.10667031,,,,,,
353.0,16.90725578,193.0,-0.197472928,234.0,0.575250836,423.0,153.265625,870.0,570.9373762,88.0,-0.738947364,490.0,10.4356479,703.0,68.04469491,,,,,,
465.0,18.34357426,194.0,-0.092458704,276.0,0.643812709,464.0,143.46875,1347.0,558.8449995,91.0,-0.593252704,561.0,9.009992903,708.0,60.88744539,,,,,,
476.0,18.147227,202.0,-0.093155342,299.0,0.385451505,489.0,145.203125,1357.0,479.6709644,106.0,-0.490438395,583.0,10.06511862,849.0,62.1510552,,,,,,
561.0,22.07906526,215.0,-0.328510729,312.0,0.656354515,512.0,142.3203125,1622.0,495.3496895,113.0,-0.42634173,603.0,10.44750623,922.0,85.3085722,,,,,,
583.0,20.43001943,216.0,-0.12833218,315.0,1.037625418,541.0,141.84375,1637.0,491.3668406,120.0,-0.730342363,606.0,8.526606796,999.0,60.5335081,,,,,,
606.0,24.8038265,217.0,-0.264095118,329.0,0.680602007,579.0,150.828125,1658.0,558.2128358,131.0,-0.447354775,607.0,10.12878435,1155.0,69.8240495,,,,,,
607.0,16.33803018,220.0,-0.234571412,339.0,0.704013378,598.0,142.3203125,1856.0,682.4238526,149.0,-0.5356664,714.0,9.998303392,1264.0,69.59838578,,,,,,
610.0,16.04898479,223.0,-0.194942315,353.0,1.099498328,632.0,147.109375,1894.0,1017.38318,161.0,-0.400319574,729.0,8.21693767,1373.0,68.44832918,,,,,,
629.0,18.12971574,247.0,-0.191159541,384.0,0.959866221,653.0,153.2265625,2003.0,482.143733,171.0,-0.400675366,775.0,8.245448044,1602.0,60.46752209,,,,,,
714.0,19.92312867,251.0,-0.510215253,421.0,1.182274247,711.0,145.3515625,2007.0,1191.000837,180.0,-0.361925451,781.0,9.656682978,1700.0,91.20647473,,,,,,
729.0,25.83057657,254.0,-0.116343662,465.0,1.044314381,730.0,143.3359375,2070.0,515.9031905,182.0,-0.966162931,835.0,9.835624289,1833.0,62.45460656,,,,,,
759.0,18.90676348,256.0,-0.231185029,476.0,0.693143813,734.0,144.2734375,2071.0,470.9716559,185.0,-0.819733801,851.0,10.58576438,1858.0,61.79631795,,,,,,
775.0,26.00864648,257.0,-0.392350934,494.0,1.024247492,751.0,144.0859375,2221.0,550.6007042,187.0,-0.409286027,855.0,10.40742903,1884.0,74.56008311,,,,,,
781.0,19.29897046,293.0,-0.851336358,513.0,0.91722408,766.0,147.8359375,2282.0,508.3739762,191.0,-0.605070987,858.0,10.55214247,2007.0,71.70969399,,,,,,
835.0,18.10163502,301.0,-0.265456587,532.0,0.923076923,775.0,157.96875,2352.0,666.4879641,199.0,-0.385996938,865.0,10.65915933,2012.0,61.28765135,,,,,,
851.0,18.76284076,302.0,-0.269903549,561.0,0.556020067,819.0,146.1640625,2478.0,541.4329658,215.0,-0.388464679,867.0,9.18772207,2042.0,73.82474653,,,,,,
855.0,20.60540855,317.0,-0.251831759,570.0,0.950668896,822.0,142.6796875,2519.0,621.4272751,219.0,-0.543809943,870.0,9.24338977,2092.0,60.33762379,,,,,,
858.0,16.71590506,320.0,-0.084275426,583.0,0.678929766,824.0,154.546875,2728.0,505.7928421,220.0,-0.699648398,904.0,10.41259442,2169.0,62.41473432,,,,,,
867.0,25.14870995,325.0,-0.499946479,588.0,1.030100334,827.0,142.046875,2764.0,560.3515815,223.0,-0.396475874,924.0,9.573145409,2196.0,67.38557603,,,,,,
870.0,22.8667696,329.0,-0.280141686,593.0,0.897157191,849.0,176.890625,2770.0,1072.957979,247.0,-0.565564884,935.0,10.54475335,2258.0,67.27676483,,,,,,
908.0,16.26129078,331.0,-0.267096507,597.0,1.023411371,862.0,143.8515625,2822.0,646.0114,248.0,-0.694499652,944.0,10.51986191,2277.0,68.61193345,,,,,,
917.0,17.38217015,344.0,-0.328023302,606.0,0.428093645,896.0,147.15625,2934.0,757.2214897,269.0,-0.70011187,973.0,10.62139895,2330.0,61.36690802,,,,,,
924.0,19.66562033,348.0,-0.11259148,607.0,1.098662207,919.0,143.71875,2959.0,589.0490372,282.0,-1.221741092,977.0,10.03333483,2346.0,70.64059562,,,,,,
944.0,16.0248918,351.0,-0.17025761,610.0,0.97909699,924.0,142.296875,3061.0,471.3449512,290.0,-1.209024178,995.0,10.0389384,2352.0,66.64067995,,,,,,
951.0,16.43405227,363.0,-0.216316446,629.0,0.769230769,935.0,144.3359375,3160.0,606.9296621,316.0,-0.510958721,1095.0,9.805222982,2369.0,62.29785621,,,,,,
960.0,17.39021873,366.0,-0.368260131,678.0,0.889632107,998.0,143.015625,3223.0,585.7534445,317.0,-0.390753851,1103.0,10.39823051,2394.0,61.4354316,,,,,,
973.0,17.57922973,379.0,-0.146045492,686.0,1.155518395,1008.0,148.9296875,3292.0,688.313733,319.0,-0.669713639,1119.0,9.729844375,2415.0,68.74491769,,,,,,
977.0,17.17751267,398.0,-0.417461904,698.0,1.143812709,1013.0,146.8515625,3358.0,838.2974267,320.0,-0.744740048,1120.0,10.25110792,2422.0,68.54195083,,,,,,
995.0,16.18211689,423.0,-0.296754705,714.0,0.621237458,1022.0,147.65625,3493.0,542.7889663,325.0,-0.404308236,1140.0,10.11939731,2492.0,62.78682185,,,,,,
1095.0,18.6910021,444.0,-0.12585765,729.0,0.588628763,1065.0,155.203125,,,332.0,-0.430429637,1151.0,10.22003494,2679.0,64.45563774,,,,,,
1119.0,18.88962216,454.0,-0.197245073,759.0,0.671404682,1078.0,144.3359375,,,338.0,-0.476326038,1170.0,9.747227093,2744.0,61.4425659,,,,,,
1120.0,17.66364736,457.0,-0.094887839,775.0,0.493311037,1129.0,165.890625,,,340.0,-0.675699635,1292.0,10.33697336,2839.0,65.76618323,,,,,,
1140.0,16.30574295,464.0,-0.267399081,781.0,0.803511706,1145.0,156.3359375,,,344.0,-0.399454786,1298.0,9.776978163,2912.0,60.30210403,,,,,,
1151.0,18.40638877,470.0,-0.101687543,785.0,0.962374582,1154.0,143.21875,,,347.0,-0.48788421,1347.0,9.048203704,2942.0,61.27112548,,,,,,
1170.0,17.73436684,480.0,-0.121200047,813.0,1.129598662,1174.0,156.2578125,,,348.0,-0.441740666,1357.0,9.343990925,2956.0,77.45572702,,,,,,
1218.0,17.46600045,489.0,-0.329708776,835.0,0.842809365,1191.0,155.296875,,,356.0,-1.022955053,1482.0,9.903458863,2964.0,67.01576116,,,,,,
1258.0,17.94074456,505.0,-0.219529961,851.0,0.661371237,1236.0,148.34375,,,357.0,-0.648617371,1502.0,9.575039504,2971.0,66.94675938,,,,,,
1298.0,18.28692566,526.0,-0.104248241,855.0,0.637959866,1246.0,142.734375,,,361.0,-0.455934083,1544.0,10.54434548,3129.0,83.79690851,,,,,,
1327.0,17.97258747,527.0,-0.176102277,858.0,0.828595318,1247.0,147.9921875,,,362.0,-1.29079093,1552.0,10.07460298,3150.0,71.10621457,,,,,,
1347.0,21.83509649,529.0,-0.091393782,867.0,0.372073579,1287.0,144.703125,,,363.0,-0.736266956,1555.0,9.879962477,3192.0,65.36949517,,,,,,
1357.0,19.62280224,541.0,-0.383111275,870.0,0.561036789,1328.0,144.109375,,,425.0,-0.453282597,1574.0,10.38961189,3299.0,62.11591308,,,,,,
1367.0,17.07908266,555.0,-0.213913627,908.0,0.809364548,1331.0,143.734375,,,433.0,-0.385782398,1582.0,10.49927078,3302.0,69.20907408,,,,,,
1479.0,18.41205002,579.0,-0.262291657,916.0,1.095317726,1366.0,143.5390625,,,438.0,-0.600601906,1622.0,10.44372188,3354.0,77.07400563,,,,,,
1482.0,16.75470729,587.0,-0.179417872,917.0,0.756688963,1438.0,145.8046875,,,478.0,-0.415017276,1637.0,9.284064073,3418.0,62.88638184,,,,,,
1501.0,17.30055984,598.0,-0.183594679,924.0,0.66722408,1520.0,144.7890625,,,480.0,-0.361874096,1658.0,8.959399109,3442.0,73.32377456,,,,,,
1502.0,18.02280786,636.0,-0.140703597,944.0,1.094481605,1549.0,146.5,,,502.0,-0.425663549,1695.0,10.16124994,3452.0,60.61349762,,,,,,
1536.0,16.04164797,653.0,-0.176612355,960.0,0.72993311,1552.0,145.515625,,,509.0,-0.378226218,1748.0,10.15398619,,,,,,,,
1544.0,16.09535324,656.0,-0.084678994,973.0,0.757525084,1556.0,148.9140625,,,512.0,-0.736974819,1827.0,10.56690574,,,,,,,,
1552.0,17.77944407,668.0,-0.14203507,977.0,0.984113712,1627.0,143.328125,,,524.0,-0.618906387,1829.0,9.48942052,,,,,,,,
1555.0,17.5000631,691.0,-0.135232464,1007.0,1.029264214,1656.0,164.5078125,,,534.0,-0.874635091,1856.0,8.488049207,,,,,,,,
1574.0,16.8225932,705.0,-0.241032136,1008.0,1.106187291,1751.0,143.7421875,,,553.0,-0.414389038,1891.0,10.66114524,,,,,,,,
1588.0,20.93792904,711.0,-0.219935712,1020.0,1.139632107,1757.0,167.265625,,,555.0,-0.374011845,1894.0,7.658622807,,,,,,,,
1622.0,21.78880752,716.0,-0.094906495,1041.0,1.004180602,1782.0,144.2265625,,,583.0,-0.572024717,1927.0,9.386201227,,,,,,,,
1637.0,19.99435208,724.0,-0.083557254,1072.0,1.081939799,1800.0,146.0234375,,,587.0,-0.371064672,1935.0,9.549109095,,,,,,,,
1658.0,21.44159553,727.0,-0.176757596,1086.0,1.198160535,1801.0,142.7109375,,,594.0,-0.379142572,1955.0,9.928137163,,,,,,,,
1708.0,17.02761622,734.0,-0.259509928,1095.0,0.769230769,1836.0,148.1953125,,,610.0,-0.369975651,2003.0,9.299867214,,,,,,,,
1748.0,17.52460409,747.0,-0.18679188,1103.0,1.023411371,1853.0,144.9296875,,,618.0,-0.619413393,2007.0,7.370432165,,,,,,,,
1828.0,16.3641774,751.0,-0.172211141,1106.0,1.070234114,1862.0,146.15625,,,619.0,-0.558824836,2060.0,10.09294869,,,,,,,,
1829.0,19.17506463,758.0,-0.177173846,1119.0,0.719899666,1901.0,158.9375,,,625.0,-1.122277963,2070.0,9.186709289,,,,,,,,
1856.0,24.05379885,766.0,-0.10301978,1120.0,0.810200669,1903.0,158.40625,,,631.0,-0.744919658,2071.0,9.389436104,,,,,,,,
1894.0,30.88388219,775.0,-0.365303753,1151.0,0.727424749,1918.0,148.546875,,,635.0,-0.420055138,2187.0,10.0971003,,,,,,,,
1912.0,16.34060921,781.0,-0.28250821,1170.0,0.950668896,1926.0,144.328125,,,653.0,-0.646732341,2220.0,10.56774557,,,,,,,,
1927.0,18.56906191,783.0,-0.117317276,1180.0,0.95819398,1947.0,144.4453125,,,655.0,-0.487113554,2221.0,9.15378181,,,,,,,,
1935.0,19.07499425,795.0,-0.417136329,1181.0,1.056020067,1954.0,160.5703125,,,659.0,-0.474235211,2267.0,9.514711452,,,,,,,,
1955.0,19.19876364,809.0,-0.139766255,1183.0,1.109531773,1989.0,141.8515625,,,667.0,-0.66581044,2282.0,9.188624648,,,,,,,,
1976.0,17.24072051,810.0,-0.087739926,1210.0,0.955685619,2005.0,149.8359375,,,674.0,-0.470348603,2352.0,8.539595736,,,,,,,,
2002.0,16.48789423,819.0,-0.386948102,1218.0,0.785117057,2019.0,144.078125,,,705.0,-0.713381389,2433.0,9.735428743,,,,,,,,
2003.0,19.51418001,822.0,-0.221563426,1258.0,0.763377926,2077.0,146.4296875,,,708.0,-0.86378088,2475.0,10.19449468,,,,,,,,
2007.0,34.53984419,823.0,-0.377740339,1298.0,0.91722408,2093.0,141.96875,,,722.0,-0.601623716,2478.0,9.395387736,,,,,,,,
2060.0,17.07881177,824.0,-0.201807755,1318.0,1.06187291,2100.0,145.8515625,,,724.0,-0.645467061,2519.0,8.72880162,,,,,,,,
2070.0,20.80439884,826.0,-0.78854709,1327.0,0.773411371,2106.0,147.6171875,,,726.0,-0.782021499,2604.0,10.62037593,,,,,,,,
2071.0,19.5189226,827.0,-0.241620276,1335.0,1.12541806,2147.0,148.1015625,,,733.0,-0.398289466,2644.0,10.46534078,,,,,,,,
2170.0,16.38599613,836.0,-0.138694079,1347.0,0.648829431,2154.0,143.3515625,,,742.0,-0.372553152,2692.0,10.45048758,,,,,,,,
2208.0,17.02432566,849.0,-1.291564673,1357.0,0.928929766,2167.0,144.5078125,,,760.0,-0.429393945,2728.0,9.448068783,,,,,,,,
2220.0,16.48688383,862.0,-0.261784651,1367.0,0.763377926,2192.0,142.9765625,,,783.0,-0.581040759,2755.0,10.32512636,,,,,,,,
2221.0,22.18283696,864.0,-0.404696444,1442.0,0.89632107,2196.0,142.2265625,,,819.0,-0.55575902,2758.0,9.94223031,,,,,,,,
2267.0,17.82120171,870.0,-0.115859571,1444.0,1.198160535,2202.0,154.875,,,821.0,-0.540127446,2764.0,8.976702489,,,,,,,,
2282.0,20.26078352,882.0,-0.100384291,1479.0,0.711538462,2261.0,158.0078125,,,836.0,-0.457520726,2770.0,7.565681088,,,,,,,,
2346.0,16.64169541,888.0,-0.191620268,1482.0,1.091973244,2266.0,147.7578125,,,862.0,-0.521904293,2822.0,8.687455738,,,,,,,,
2352.0,23.70251524,892.0,-0.097906922,1501.0,0.828595318,2283.0,158.046875,,,863.0,-0.502977774,2852.0,9.782509647,,,,,,,,
2392.0,17.24020956,896.0,-0.441836412,1502.0,0.992474916,2303.0,142.5859375,,,869.0,68.10162173,2934.0,8.290459409,,,,,,,,
2398.0,17.51912706,913.0,-0.12966176,1522.0,1.200668896,2321.0,153.4375,,,878.0,-0.505224142,2959.0,8.827777214,,,,,,,,
2433.0,19.21606148,914.0,-0.119205418,1536.0,0.857023411,2346.0,158.0,,,882.0,-0.551908381,3061.0,9.47416996,,,,,,,,
2454.0,17.11944543,919.0,-0.113036125,1539.0,0.923913043,2415.0,146.3359375,,,919.0,-0.368045041,3160.0,8.758855399,,,,,,,,
2475.0,19.09730274,926.0,-0.304534483,1544.0,1.081103679,2436.0,142.7578125,,,922.0,-1.429338602,3215.0,10.19749262,,,,,,,,
2478.0,22.31692646,929.0,-0.174612459,1552.0,0.79180602,2451.0,161.546875,,,926.0,-0.441933472,3223.0,8.963456972,,,,,,,,
2519.0,23.02068599,957.0,-0.209818907,1555.0,0.873745819,2459.0,147.3828125,,,928.0,-0.435092834,3292.0,8.469054382,,,,,,,,
2557.0,16.77326368,998.0,-0.413088168,1574.0,0.821906355,2551.0,150.8203125,,,940.0,-0.563533859,3358.0,8.050996007,,,,,,,,
2579.0,15.99599601,1008.0,-0.193766156,1588.0,0.56270903,2555.0,162.8359375,,,954.0,-0.530465324,3423.0,9.50969558,,,,,,,,
2604.0,16.42580221,1013.0,-0.182015176,1610.0,0.961538462,2594.0,154.828125,,,971.0,-0.511846368,3471.0,10.65345059,,,,,,,,
2692.0,16.43328965,1022.0,-0.123452921,1616.0,0.933110368,2606.0,145.109375,,,989.0,-0.652397872,3493.0,9.05189596,,,,,,,,
2728.0,21.1251608,1030.0,-0.248043809,1622.0,0.537625418,2620.0,166.2421875,,,995.0,-0.486325997,,,,,,,,,,
2755.0,17.80359953,1033.0,-0.127177558,1637.0,0.722408027,2640.0,145.421875,,,999.0,-0.723727217,,,,,,,,,,
2758.0,18.56469558,1040.0,-0.205664678,1645.0,1.045150502,2658.0,150.9296875,,,1005.0,-0.482553483,,,,,,,,,,
2764.0,21.78444163,1057.0,-0.144282272,1658.0,0.689799331,2669.0,143.453125,,,1014.0,-0.679851066,,,,,,,,,,
2770.0,32.19858411,1065.0,-0.399585906,1708.0,0.773411371,2695.0,151.4140625,,,1016.0,-0.455453903,,,,,,,,,,
2822.0,23.80134612,1071.0,-0.382617094,1748.0,0.821070234,2716.0,142.390625,,,1019.0,-0.440315798,,,,,,,,,,
2842.0,18.50064207,1091.0,-0.239040645,1758.0,1.163879599,2750.0,154.2265625,,,1021.0,-0.489726222,,,,,,,,,,
2852.0,19.40777182,1094.0,-0.111385828,1764.0,1.071906355,2755.0,143.6171875,,,1026.0,-0.35863156,,,,,,,,,,
2881.0,17.89532069,1106.0,-0.216374693,1828.0,0.851170569,2773.0,159.6796875,,,1032.0,-0.91820436,,,,,,,,,,
2891.0,18.34771307,1129.0,-0.666761277,1829.0,0.720735786,2852.0,148.734375,,,1051.0,-0.403609368,,,,,,,,,,
2898.0,16.45809591,1137.0,-0.199351494,1842.0,1.094481605,2878.0,151.2109375,,,1070.0,-0.355371071,,,,,,,,,,
2912.0,16.10944959,1139.0,-0.126128261,1856.0,0.62541806,2879.0,150.25,,,1074.0,-0.558991494,,,,,,,,,,
2934.0,26.02936038,1142.0,-0.140807882,1874.0,0.936454849,2900.0,154.328125,,,1085.0,-0.392244981,,,,,,,,,,
2959.0,22.09169374,1145.0,-0.17873019,1894.0,0.486622074,2915.0,147.046875,,,1106.0,-0.467657593,,,,,,,,,,
3061.0,19.99649016,1154.0,-0.346445944,1912.0,0.878762542,2916.0,142.8671875,,,1109.0,-0.569587069,,,,,,,,,,
3106.0,18.97366748,1166.0,-0.217544351,1927.0,1.035117057,2928.0,147.1796875,,,1116.0,-0.421060232,,,,,,,,,,
3112.0,16.2029334,1171.0,-0.146920173,1935.0,0.722408027,2949.0,157.4140625,,,1139.0,-0.524239396,,,,,,,,,,
3160.0,22.48554855,1174.0,-0.635141984,1951.0,1.061036789,2953.0,150.09375,,,1152.0,-0.471336501,,,,,,,,,,
3215.0,16.79771444,1179.0,-0.412853166,1955.0,0.695652174,2963.0,147.1875,,,1155.0,-1.333386905,,,,,,,,,,
