 Excess kurtosis of the DM-SNR curve line, Excess kurtosis of the DM-SNR curve outlier candidate, Excess kurtosis of the integrated profile line, Excess kurtosis of the integrated profile outlier candidate, Mean of the DM-SNR curve line, Mean of the DM-SNR curve outlier candidate, Mean of the integrated profile line, Mean of the integrated profile outlier candidate, Skewness of the DM-SNR curve line, Skewness of the DM-SNR curve outlier candidate, Skewness of the integrated profile line, Skewness of the integrated profile outlier candidate, Standard deviation of the DM-SNR curve line, Standard deviation of the DM-SNR curve outlier candidate, Standard deviation of the integrated profile line, Standard deviation of the integrated profile outlier candidate,cap-shape line,cap-shape outlier candidate,cap-surface line,cap-surface outlier candidate,class line,class outlier candidate
3223.0,22.84698125,1187.0,-0.13811222,1976.0,0.777591973,3009.0,142.2265625,,,1181.0,-0.366729824,,,,,,,,,,
3292.0,24.2116019,1191.0,-0.269462054,2002.0,1.150501672,3027.0,151.9453125,,,1187.0,-0.386839447,,,,,,,,,,
3358.0,27.36272953,1194.0,-0.223622621,2003.0,0.892140468,3047.0,155.5234375,,,1200.0,-0.41769841,,,,,,,,,,
3391.0,16.15530276,1204.0,-0.129649114,2007.0,0.213210702,3128.0,149.5234375,,,1212.0,-0.377866076,,,,,,,,,,
3423.0,18.49875055,1206.0,-0.125926742,2029.0,1.12458194,3213.0,145.2734375,,,1240.0,-0.419012785,,,,,,,,,,
3426.0,20.42870324,1235.0,-0.124094881,2053.0,1.098662207,3269.0,147.1796875,,,1242.0,-0.368207209,,,,,,,,,,
3471.0,17.23772744,1236.0,-0.355294877,2060.0,0.939799331,3297.0,154.328125,,,1248.0,-0.385006772,,,,,,,,,,
3493.0,21.20130294,1246.0,-0.144941548,2070.0,0.628762542,3301.0,174.4453125,,,1264.0,-1.285631263,,,,,,,,,,
,,1247.0,-0.319965154,2071.0,0.741638796,3361.0,149.03125,,,1279.0,-0.742983306,,,,,,,,,,
,,1248.0,-0.147826201,2081.0,1.02090301,3391.0,147.0703125,,,1289.0,-0.4555376,,,,,,,,,,
,,1249.0,-0.23761915,2170.0,0.822742475,3398.0,159.4609375,,,1291.0,-0.617628015,,,,,,,,,,
,,1271.0,-0.150041816,2174.0,1.185618729,3418.0,162.921875,,,1295.0,-0.579011603,,,,,,,,,,
,,1277.0,-0.228002011,2179.0,1.019230769,3430.0,146.890625,,,1309.0,-0.374969242,,,,,,,,,,
,,1279.0,-0.198547391,2208.0,0.715719064,3467.0,143.375,,,1310.0,-0.521834801,,,,,,,,,,
,,1285.0,-0.381446574,2220.0,0.996655518,,,,,1337.0,-0.483181018,,,,,,,,,,
,,1287.0,-0.308911459,2221.0,0.509197324,,,,,1344.0,-0.369825844,,,,,,,,,,
,,1310.0,-0.218016965,2225.0,0.993311037,,,,,1370.0,-0.431489386,,,,,,,,,,
,,1316.0,-0.182433321,2227.0,0.97826087,,,,,1371.0,-0.450082238,,,,,,,,,,
,,1325.0,-0.225299501,2264.0,1.061036789,,,,,1373.0,-1.022071192,,,,,,,,,,
,,1328.0,-0.160719816,2267.0,1.045150502,,,,,1399.0,-0.406467969,,,,,,,,,,
,,1331.0,-0.124623835,2282.0,0.856187291,,,,,1408.0,-0.437065922,,,,,,,,,,
,,1344.0,-0.10999675,2346.0,1.06187291,,,,,1409.0,-0.997392102,,,,,,,,,,
,,1345.0,-0.094423233,2352.0,0.626254181,,,,,1412.0,-0.796265936,,,,,,,,,,
,,1360.0,-0.123247103,2360.0,1.162207358,,,,,1434.0,-0.577054832,,,,,,,,,,
,,1366.0,-0.267006557,2392.0,0.867056856,,,,,1438.0,-0.547796532,,,,,,,,,,
,,1369.0,-0.148782839,2398.0,0.922240803,,,,,1442.0,-0.444882409,,,,,,,,,,
,,1390.0,-0.206521597,2433.0,0.673076923,,,,,1444.0,-0.397856837,,,,,,,,,,
,,1402.0,-0.181251499,2434.0,1.193979933,,,,,1460.0,-0.423161693,,,,,,,,,,
,,1404.0,-0.085951196,2454.0,0.826923077,,,,,1462.0,-0.535040066,,,,,,,,,,
,,1413.0,-0.095745188,2475.0,0.66722408,,,,,1466.0,-0.616029813,,,,,,,,,,
,,1434.0,-0.149323113,2478.0,0.510033445,,,,,1485.0,-0.548990547,,,,,,,,,,
,,1438.0,-0.116512624,2479.0,1.142140468,,,,,1496.0,-0.454706547,,,,,,,,,,
,,1441.0,-0.104229566,2497.0,1.18645485,,,,,1523.0,-0.669922519,,,,,,,,,,
,,1458.0,-0.168623214,2519.0,0.588628763,,,,,1525.0,-0.807788259,,,,,,,,,,
,,1466.0,-0.122888148,2557.0,0.93812709,,,,,1532.0,-0.390467131,,,,,,,,,,
,,1468.0,-0.097537105,2558.0,1.199832776,,,,,1539.0,-0.50985817,,,,,,,,,,
,,1491.0,-0.09104771,2579.0,0.903010033,,,,,1544.0,-0.373089166,,,,,,,,,,
,,1496.0,-0.103200771,2588.0,1.107859532,,,,,1549.0,-0.558265446,,,,,,,,,,
,,1520.0,-0.232265509,2604.0,0.846153846,,,,,1559.0,-0.670209223,,,,,,,,,,
,,1521.0,-0.08416679,2607.0,1.072742475,,,,,1561.0,-0.396994792,,,,,,,,,,
,,1524.0,-0.106715533,2616.0,0.934782609,,,,,1578.0,-0.397231442,,,,,,,,,,
,,1529.0,-0.101114174,2644.0,1.10451505,,,,,1583.0,-0.498774663,,,,,,,,,,
,,1552.0,-0.144941624,2690.0,1.16722408,,,,,1591.0,-0.594865024,,,,,,,,,,
,,1556.0,-0.472205817,2692.0,1.068561873,,,,,1602.0,-0.767792176,,,,,,,,,,
,,1568.0,-0.22326861,2694.0,1.011705686,,,,,1604.0,-0.450628984,,,,,,,,,,
,,1572.0,-0.094408436,2699.0,1.126254181,,,,,1618.0,-0.431156903,,,,,,,,,,
,,1597.0,-0.12147936,2728.0,0.618729097,,,,,1626.0,-0.39636057,,,,,,,,,,
,,1599.0,-0.20494247,2755.0,0.734113712,,,,,1627.0,-0.630942333,,,,,,,,,,
,,1617.0,-0.183039141,2758.0,0.772575251,,,,,1634.0,-0.382005401,,,,,,,,,,
,,1627.0,-0.228409568,2764.0,0.570234114,,,,,1651.0,-0.428360511,,,,,,,,,,
,,1629.0,-0.27547525,2770.0,0.282608696,,,,,1654.0,-0.465719549,,,,,,,,,,
,,1645.0,-0.253640474,2796.0,1.142976589,,,,,1660.0,-0.424222952,,,,,,,,,,
,,1656.0,-0.814920527,2822.0,0.574414716,,,,,1673.0,-0.584480022,,,,,,,,,,
,,1671.0,-0.167963918,2842.0,0.717391304,,,,,1677.0,-0.526481549,,,,,,,,,,
,,1693.0,-0.16462649,2852.0,0.670568562,,,,,1691.0,-0.498368512,,,,,,,,,,
,,1698.0,-0.118292069,2860.0,0.97993311,,,,,1692.0,-0.787813653,,,,,,,,,,
,,1713.0,-0.086566058,2881.0,0.736622074,,,,,1700.0,-1.755331667,,,,,,,,,,
,,1725.0,-0.102569494,2884.0,0.850334448,,,,,1701.0,-0.517021157,,,,,,,,,,
,,1728.0,-0.125318944,2891.0,0.741638796,,,,,1702.0,-0.362887301,,,,,,,,,,
,,1733.0,-0.157029889,2898.0,0.870401338,,,,,1710.0,-0.363182629,,,,,,,,,,
,,1757.0,-1.243047959,2912.0,0.943143813,,,,,1719.0,-0.613223971,,,,,,,,,,
,,1769.0,-0.201553289,2926.0,1.02173913,,,,,1728.0,-0.755588215,,,,,,,,,,
,,1789.0,-0.14420225,2929.0,1.190635452,,,,,1732.0,-0.453751758,,,,,,,,,,
,,1800.0,-0.563544395,2934.0,0.443143813,,,,,1734.0,-0.495919613,,,,,,,,,,
,,1827.0,-0.117524134,2952.0,1.040133779,,,,,1738.0,-0.635869161,,,,,,,,,,
,,1836.0,-0.237560431,2959.0,0.671404682,,,,,1740.0,-0.558206552,,,,,,,,,,
,,1862.0,-0.495959408,3009.0,1.091973244,,,,,1741.0,-0.469846623,,,,,,,,,,
,,1874.0,-0.169392319,3044.0,1.180602007,,,,,1743.0,-0.599134023,,,,,,,,,,
,,1901.0,-0.342646,3061.0,0.642140468,,,,,1747.0,-0.465566375,,,,,,,,,,
,,1903.0,-0.64592281,3106.0,0.661371237,,,,,1755.0,-0.470638942,,,,,,,,,,
,,1906.0,-0.125338864,3107.0,1.130434783,,,,,1769.0,-0.409392485,,,,,,,,,,
,,1914.0,-0.199618699,3112.0,0.884615385,,,,,1776.0,-0.371239336,,,,,,,,,,
,,1918.0,-0.157453673,3147.0,1.108695652,,,,,1782.0,-0.500284235,,,,,,,,,,
,,1921.0,-0.102704234,3160.0,0.62541806,,,,,1784.0,-0.571767105,,,,,,,,,,
,,1926.0,-0.285120899,3205.0,0.929765886,,,,,1786.0,-0.375044104,,,,,,,,,,
,,1937.0,-0.09848083,3215.0,0.927257525,,,,,1792.0,-0.444422013,,,,,,,,,,
,,1954.0,-0.788336545,3217.0,1.066889632,,,,,1815.0,-0.704374616,,,,,,,,,,
,,1981.0,-0.156429627,3223.0,0.490802676,,,,,1820.0,-0.496484337,,,,,,,,,,
,,1989.0,-0.223171164,3242.0,0.977424749,,,,,1829.0,-0.360226642,,,,,,,,,,
,,1997.0,-0.155980676,3261.0,0.867892977,,,,,1837.0,-0.365476727,,,,,,,,,,
,,2005.0,-0.24037832,3292.0,0.571070234,,,,,1850.0,-0.51666662,,,,,,,,,,
,,2010.0,-0.125990142,3314.0,1.161371237,,,,,1856.0,-0.752266542,,,,,,,,,,
,,2019.0,-0.209547105,3329.0,1.132943144,,,,,1879.0,-0.447587468,,,,,,,,,,
,,2025.0,-0.21339795,3358.0,0.494983278,,,,,1884.0,-0.96008249,,,,,,,,,,
,,2027.0,-0.131029307,3391.0,0.820234114,,,,,1890.0,-0.367023594,,,,,,,,,,
,,2031.0,-0.123523293,3405.0,0.971571906,,,,,1901.0,-0.384349496,,,,,,,,,,
,,2045.0,-0.09102117,3415.0,1.066889632,,,,,1902.0,-0.563010283,,,,,,,,,,
,,2046.0,-0.243763805,3423.0,0.97826087,,,,,1921.0,-0.442147879,,,,,,,,,,
,,2047.0,-0.177537351,3426.0,0.598662207,,,,,1947.0,-0.550595378,,,,,,,,,,
,,2060.0,-0.184104506,3471.0,0.924749164,,,,,1952.0,-0.71180853,,,,,,,,,,
,,2076.0,-0.123295178,3487.0,1.198996656,,,,,1953.0,62.86853087,,,,,,,,,,
,,2077.0,-0.339591121,3493.0,0.701505017,,,,,1957.0,-0.502093821,,,,,,,,,,
,,2086.0,-0.09142381,,,,,,,1973.0,-0.369041328,,,,,,,,,,
,,2089.0,-0.281326991,,,,,,,1980.0,-1.190659166,,,,,,,,,,
,,2093.0,-0.161578883,,,,,,,1988.0,-0.61279593,,,,,,,,,,
,,2100.0,-0.149983701,,,,,,,2007.0,-1.020967344,,,,,,,,,,
,,2106.0,-0.241404246,,,,,,,2012.0,-0.657251352,,,,,,,,,,
,,2130.0,-0.153797712,,,,,,,2013.0,-0.383489202,,,,,,,,,,
,,2147.0,-0.337525516,,,,,,,2016.0,-0.393499062,,,,,,,,,,
,,2154.0,-0.165023786,,,,,,,2025.0,-0.590819309,,,,,,,,,,
,,2158.0,-0.1487375,,,,,,,2031.0,-0.664588439,,,,,,,,,,
,,2167.0,-0.260833314,,,,,,,2035.0,-0.547843035,,,,,,,,,,
,,2176.0,-0.107809281,,,,,,,2042.0,-1.426008479,,,,,,,,,,
,,2185.0,-0.125126919,,,,,,,2044.0,-0.397127049,,,,,,,,,,
,,2192.0,-0.37293035,,,,,,,2055.0,-0.530214971,,,,,,,,,,
,,2194.0,-0.138817387,,,,,,,2058.0,-0.485548445,,,,,,,,,,
,,2196.0,-0.409039498,,,,,,,2059.0,-0.495320252,,,,,,,,,,
,,2202.0,-0.285642722,,,,,,,2070.0,-0.720544634,,,,,,,,,,
,,2214.0,-0.263595647,,,,,,,2071.0,-0.630157294,,,,,,,,,,
,,2261.0,-0.277940085,,,,,,,2093.0,-0.367062154,,,,,,,,,,
,,2283.0,-0.254162475,,,,,,,2102.0,-0.360186913,,,,,,,,,,
,,2289.0,-0.208422583,,,,,,,2105.0,-0.517323389,,,,,,,,,,
,,2292.0,-0.254775823,,,,,,,2121.0,-0.384992309,,,,,,,,,,
,,2321.0,-0.687209202,,,,,,,2122.0,-0.538020905,,,,,,,,,,
,,2324.0,-0.161601914,,,,,,,2124.0,-0.392104632,,,,,,,,,,
,,2333.0,-0.323419544,,,,,,,2151.0,-0.45201668,,,,,,,,,,
,,2335.0,-0.223970879,,,,,,,2169.0,-1.151807727,,,,,,,,,,
,,2337.0,-0.109745322,,,,,,,2170.0,-0.610486052,,,,,,,,,,
,,2339.0,-0.139667958,,,,,,,2171.0,-0.429760698,,,,,,,,,,
,,2346.0,-0.715221178,,,,,,,2172.0,-0.499100853,,,,,,,,,,
,,2352.0,-0.082271602,,,,,,,2176.0,-0.620856773,,,,,,,,,,
,,2357.0,-0.174958562,,,,,,,2189.0,-0.642960484,,,,,,,,,,
,,2367.0,-0.222934778,,,,,,,2196.0,-0.900755645,,,,,,,,,,
,,2379.0,-0.214395746,,,,,,,2215.0,-0.374472947,,,,,,,,,,
,,2406.0,-0.081760445,,,,,,,2237.0,-0.359222344,,,,,,,,,,
,,2415.0,-0.528109714,,,,,,,2247.0,-0.659448946,,,,,,,,,,
,,2419.0,-0.135011693,,,,,,,2258.0,-1.073750811,,,,,,,,,,
,,2425.0,-0.213881505,,,,,,,2277.0,-1.207837078,,,,,,,,,,
,,2436.0,-0.193868003,,,,,,,2282.0,-0.573335104,,,,,,,,,,
,,2445.0,-0.088268167,,,,,,,2299.0,-0.504540688,,,,,,,,,,
,,2451.0,-0.445529239,,,,,,,2306.0,-0.514347238,,,,,,,,,,
,,2454.0,-0.086301647,,,,,,,2314.0,-0.494766891,,,,,,,,,,
,,2459.0,-0.17201993,,,,,,,2318.0,-0.681334922,,,,,,,,,,
,,2474.0,-0.101259289,,,,,,,2326.0,-0.475249405,,,,,,,,,,
,,2478.0,-0.145718598,,,,,,,2328.0,-0.476255419,,,,,,,,,,
,,2485.0,-0.283428861,,,,,,,2330.0,-0.406666122,,,,,,,,,,
,,2492.0,-0.14200071,,,,,,,2332.0,-0.420245749,,,,,,,,,,
,,2504.0,-0.160566708,,,,,,,2337.0,-0.426159482,,,,,,,,,,
,,2508.0,-0.120530793,,,,,,,2339.0,-0.44414081,,,,,,,,,,
,,2509.0,-0.202542443,,,,,,,2346.0,-0.703953585,,,,,,,,,,
,,2551.0,-0.188187488,,,,,,,2352.0,-0.96973044,,,,,,,,,,
,,2552.0,-0.199783307,,,,,,,2354.0,-0.48574424,,,,,,,,,,
,,2553.0,-0.197473139,,,,,,,2355.0,-0.737542315,,,,,,,,,,
,,2555.0,-0.395943431,,,,,,,2356.0,-0.931859304,,,,,,,,,,
,,2563.0,-0.190712349,,,,,,,2368.0,-0.366651687,,,,,,,,,,
,,2566.0,-0.097256057,,,,,,,2369.0,-0.841093179,,,,,,,,,,
,,2590.0,-0.186698548,,,,,,,2374.0,-0.353205264,,,,,,,,,,
,,2594.0,-0.395508941,,,,,,,2392.0,-0.446177214,,,,,,,,,,
,,2602.0,-0.18439488,,,,,,,2393.0,-0.733680527,,,,,,,,,,
,,2603.0,-0.132022037,,,,,,,2394.0,-0.747706378,,,,,,,,,,
,,2606.0,-0.329892811,,,,,,,2395.0,-0.417014716,,,,,,,,,,
,,2616.0,-0.122189065,,,,,,,2401.0,-0.442749672,,,,,,,,,,
,,2620.0,-0.943275425,,,,,,,2403.0,-0.358660018,,,,,,,,,,
,,2635.0,-0.170622827,,,,,,,2408.0,-0.541867485,,,,,,,,,,
,,2640.0,-0.353121474,,,,,,,2415.0,-0.810518903,,,,,,,,,,
,,2649.0,-0.243341594,,,,,,,2425.0,-0.41926369,,,,,,,,,,
,,2658.0,-0.100787599,,,,,,,2436.0,-0.682682689,,,,,,,,,,
,,2695.0,-0.175096769,,,,,,,2439.0,-0.413007658,,,,,,,,,,
,,2709.0,-0.118252793,,,,,,,2456.0,-0.526288879,,,,,,,,,,
,,2724.0,-0.082479963,,,,,,,2459.0,-0.488832123,,,,,,,,,,
,,2750.0,-0.616140169,,,,,,,2463.0,-0.490855991,,,,,,,,,,
,,2753.0,-0.135417258,,,,,,,2464.0,-0.442187167,,,,,,,,,,
,,2758.0,-0.151711603,,,,,,,2466.0,-0.605069296,,,,,,,,,,
,,2760.0,-0.109775948,,,,,,,2467.0,-0.436555857,,,,,,,,,,
,,2768.0,-0.269174771,,,,,,,2474.0,-0.398289737,,,,,,,,,,
,,2773.0,-0.322081418,,,,,,,2483.0,-0.362528645,,,,,,,,,,
,,2776.0,-0.134250891,,,,,,,2489.0,-0.387154329,,,,,,,,,,
,,2790.0,-0.087278151,,,,,,,2492.0,-0.770586756,,,,,,,,,,
,,2799.0,-0.152566571,,,,,,,2498.0,-0.898428741,,,,,,,,,,
,,2806.0,-0.229152413,,,,,,,2499.0,-0.690165637,,,,,,,,,,
,,2832.0,-0.125898616,,,,,,,2504.0,-0.593484133,,,,,,,,,,
,,2852.0,-0.145787361,,,,,,,2508.0,-0.457801414,,,,,,,,,,
,,2868.0,-0.098536494,,,,,,,2509.0,-0.439521856,,,,,,,,,,
,,2879.0,-0.293358459,,,,,,,2552.0,-0.426999545,,,,,,,,,,
,,2904.0,-0.305418476,,,,,,,2558.0,-0.429864195,,,,,,,,,,
,,2912.0,-0.14220215,,,,,,,2570.0,-0.44365755,,,,,,,,,,
,,2915.0,-0.238446444,,,,,,,2583.0,-0.394362917,,,,,,,,,,
,,2916.0,-0.370005762,,,,,,,2589.0,-0.410765529,,,,,,,,,,
,,2928.0,-0.276795859,,,,,,,2590.0,-0.424594113,,,,,,,,,,
,,2930.0,-0.284614307,,,,,,,2592.0,-0.583776328,,,,,,,,,,
,,2942.0,-0.285003623,,,,,,,2615.0,-0.421265194,,,,,,,,,,
,,2949.0,-0.203597601,,,,,,,2636.0,-0.424998369,,,,,,,,,,
,,2953.0,-0.149463638,,,,,,,2643.0,-0.512699409,,,,,,,,,,
,,2963.0,-0.317051551,,,,,,,2650.0,-0.366704922,,,,,,,,,,
,,2974.0,-0.120540504,,,,,,,2679.0,-0.796270961,,,,,,,,,,
,,2985.0,-0.261539631,,,,,,,2687.0,-0.409383801,,,,,,,,,,
,,2999.0,-0.221300953,,,,,,,2706.0,-0.379885483,,,,,,,,,,
,,3009.0,-0.282400762,,,,,,,2730.0,-0.596122377,,,,,,,,,,
,,3011.0,-0.282344175,,,,,,,2734.0,-0.705472728,,,,,,,,,,
,,3027.0,-0.250833836,,,,,,,2741.0,-0.431335674,,,,,,,,,,
,,3047.0,-0.443881493,,,,,,,2744.0,-0.877518146,,,,,,,,,,
,,3055.0,-0.108407305,,,,,,,2750.0,-0.553531651,,,,,,,,,,
,,3061.0,-0.236577724,,,,,,,2768.0,-0.637333771,,,,,,,,,,
,,3063.0,-0.258911397,,,,,,,2776.0,-0.546019815,,,,,,,,,,
,,3089.0,-0.294822529,,,,,,,2778.0,-0.537727309,,,,,,,,,,
,,3101.0,-0.160866045,,,,,,,2790.0,-0.478336499,,,,,,,,,,
,,3118.0,-0.338907832,,,,,,,2806.0,-0.370637222,,,,,,,,,,
,,3128.0,-0.413414383,,,,,,,2809.0,-0.379436784,,,,,,,,,,
,,3148.0,-0.173434182,,,,,,,2815.0,65.38597385,,,,,,,,,,
,,3152.0,-0.081685994,,,,,,,2828.0,-0.486637088,,,,,,,,,,
,,3163.0,-0.909645685,,,,,,,2832.0,-0.581299512,,,,,,,,,,
,,3167.0,-0.234422119,,,,,,,2833.0,-0.393822915,,,,,,,,,,
,,3180.0,-0.091955609,,,,,,,2839.0,-1.018931534,,,,,,,,,,
,,3181.0,-0.133909843,,,,,,,2841.0,-0.698371022,,,,,,,,,,
,,3182.0,-0.442946116,,,,,,,2858.0,-0.624935104,,,,,,,,,,
,,3188.0,-0.139680069,,,,,,,2878.0,-0.390906508,,,,,,,,,,
,,3205.0,-0.154719171,,,,,,,2900.0,-0.685811889,,,,,,,,,,
,,3217.0,-0.249829928,,,,,,,2903.0,-0.42495744,,,,,,,,,,
,,3219.0,-0.116520845,,,,,,,2905.0,-0.482835019,,,,,,,,,,
,,3222.0,-0.213667181,,,,,,,2912.0,-0.532189049,,,,,,,,,,
,,3227.0,-0.258301143,,,,,,,2914.0,-0.495563862,,,,,,,,,,
,,3238.0,-0.279412128,,,,,,,2915.0,-0.45847628,,,,,,,,,,
,,3248.0,-0.191336828,,,,,,,2916.0,-0.563544909,,,,,,,,,,
,,3269.0,-0.190495376,,,,,,,2922.0,-0.402615325,,,,,,,,,,
,,3283.0,-0.131220122,,,,,,,2927.0,-0.409775818,,,,,,,,,,
,,3297.0,-0.447880355,,,,,,,2928.0,-0.40409455,,,,,,,,,,
,,3301.0,-0.96785605,,,,,,,2941.0,-0.356135118,,,,,,,,,,
,,3308.0,-0.161477448,,,,,,,2942.0,-1.087748183,,,,,,,,,,
,,3324.0,-0.082759748,,,,,,,2950.0,-0.551473194,,,,,,,,,,
,,3328.0,-0.124295853,,,,,,,2956.0,-1.308232913,,,,,,,,,,
,,3332.0,-0.082239059,,,,,,,2959.0,-0.474659038,,,,,,,,,,
,,3334.0,-0.10832174,,,,,,,2964.0,-0.94416477,,,,,,,,,,
,,3349.0,-0.083100066,,,,,,,2971.0,-1.24712325,,,,,,,,,,
,,3361.0,-0.114911756,,,,,,,2979.0,-0.591203117,,,,,,,,,,
,,3366.0,-0.295049069,,,,,,,2987.0,-0.490890709,,,,,,,,,,
,,3382.0,-0.329768528,,,,,,,2990.0,-0.476678852,,,,,,,,,,
,,3391.0,-0.417425064,,,,,,,3013.0,-0.470119865,,,,,,,,,,
,,3394.0,-0.116892237,,,,,,,3029.0,-0.539189951,,,,,,,,,,
,,3397.0,-0.106678487,,,,,,,3047.0,-0.671787462,,,,,,,,,,
,,3398.0,-0.092523198,,,,,,,3055.0,-0.431259477,,,,,,,,,,
,,3409.0,-0.125938944,,,,,,,3088.0,-0.492492093,,,,,,,,,,
,,3416.0,-0.183381239,,,,,,,3093.0,-0.656425154,,,,,,,,,,
,,3418.0,-1.120766883,,,,,,,3094.0,-0.41898343,,,,,,,,,,
,,3429.0,-0.126494408,,,,,,,3096.0,-0.540014664,,,,,,,,,,
,,3467.0,-0.097355231,,,,,,,3102.0,-0.444129432,,,,,,,,,,
,,3475.0,-0.109619083,,,,,,,3104.0,-0.433701205,,,,,,,,,,
,,3484.0,-0.15290576,,,,,,,3118.0,-0.407173712,,,,,,,,,,
,,3495.0,-0.111088336,,,,,,,3128.0,-0.444905174,,,,,,,,,,
,,3496.0,-0.121952426,,,,,,,3129.0,-0.632872049,,,,,,,,,,
,,,,,,,,,,3130.0,63.46638835,,,,,,,,,,
,,,,,,,,,,3132.0,-0.500010301,,,,,,,,,,
,,,,,,,,,,3141.0,-0.449955417,,,,,,,,,,
,,,,,,,,,,3142.0,-0.54103849,,,,,,,,,,
,,,,,,,,,,3147.0,-0.498929244,,,,,,,,,,
,,,,,,,,,,3150.0,-0.452238868,,,,,,,,,,
,,,,,,,,,,3151.0,-0.684606691,,,,,,,,,,
,,,,,,,,,,3152.0,-0.528603896,,,,,,,,,,
,,,,,,,,,,3165.0,-0.377993387,,,,,,,,,,
,,,,,,,,,,3173.0,-0.409028356,,,,,,,,,,
,,,,,,,,,,3178.0,-0.611238169,,,,,,,,,,
,,,,,,,,,,3180.0,-0.417057902,,,,,,,,,,
,,,,,,,,,,3181.0,-0.610810262,,,,,,,,,,
,,,,,,,,,,3188.0,-0.540490784,,,,,,,,,,
,,,,,,,,,,3192.0,-0.538699499,,,,,,,,,,
,,,,,,,,,,3193.0,-0.687688373,,,,,,,,,,
,,,,,,,,,,3197.0,-0.454981747,,,,,,,,,,
,,,,,,,,,,3202.0,-0.41402209,,,,,,,,,,
,,,,,,,,,,3205.0,-0.654944883,,,,,,,,,,
,,,,,,,,,,3206.0,-0.410603449,,,,,,,,,,
,,,,,,,,,,3217.0,-0.70806345,,,,,,,,,,
,,,,,,,,,,3257.0,-0.785820127,,,,,,,,,,
,,,,,,,,,,3293.0,-0.600009457,,,,,,,,,,
,,,,,,,,,,3302.0,-1.139068864,,,,,,,,,,
,,,,,,,,,,3306.0,-0.578751719,,,,,,,,,,
,,,,,,,,,,3308.0,-0.592043142,,,,,,,,,,
,,,,,,,,,,3315.0,-0.35639111,,,,,,,,,,
,,,,,,,,,,3325.0,-0.526465219,,,,,,,,,,
,,,,,,,,,,3334.0,-0.473577634,,,,,,,,,,
,,,,,,,,,,3343.0,-0.55065281,,,,,,,,,,
,,,,,,,,,,3354.0,-0.387463737,,,,,,,,,,
,,,,,,,,,,3366.0,-0.728040811,,,,,,,,,,
,,,,,,,,,,3388.0,-0.627974904,,,,,,,,,,
,,,,,,,,,,3394.0,-0.65171455,,,,,,,,,,
,,,,,,,,,,3398.0,-0.35918513,,,,,,,,,,
,,,,,,,,,,3410.0,-0.411970283,,,,,,,,,,
,,,,,,,,,,3413.0,-0.471540254,,,,,,,,,,
,,,,,,,,,,3416.0,-0.434199386,,,,,,,,,,
,,,,,,,,,,3430.0,-0.637333237,,,,,,,,,,
,,,,,,,,,,3437.0,-0.419453083,,,,,,,,,,
,,,,,,,,,,3442.0,-1.040047783,,,,,,,,,,
,,,,,,,,,,3452.0,-0.65334814,,,,,,,,,,
,,,,,,,,,,3453.0,-0.470415228,,,,,,,,,,
,,,,,,,,,,3457.0,-0.60777109,,,,,,,,,,
,,,,,,,,,,3468.0,-0.461098767,,,,,,,,,,
,,,,,,,,,,3477.0,-0.482680667,,,,,,,,,,
,,,,,,,,,,3482.0,-0.48872364,,,,,,,,,,
,,,,,,,,,,3489.0,-0.386009479,,,,,,,,,,
,,,,,,,,,,3490.0,-0.399577412,,,,,,,,,,
,,,,,,,,,,3492.0,-0.398664735,,,,,,,,,,
,,,,,,,,,,3493.0,-0.359665022,,,,,,,,,,
,,,,,,,,,,3497.0,-0.406630775,,,,,,,,,,
